epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,38.9823,2.67036,5.01091,2.5849,0.00065,0.06667,0.00067,0.00012,3.64378,5.23085,3.36652,2.84911e-05,2.84911e-05,2.84911e-05
41,39.999,3.25294,5.28347,3.01735,0.00065,0.06667,0.00061,0.00014,3.62917,5.27727,3.35041,2.87504e-05,2.87504e-05,2.87504e-05
42,40.94,2.56213,5.12162,2.6301,0.00065,0.06667,0.00061,0.00014,3.62917,5.27727,3.35041,2.89861e-05,2.89861e-05,2.89861e-05
43,41.8852,2.5072,5.24596,2.47703,0.00064,0.06667,0.0006,0.00016,3.62522,5.32725,3.32486,2.91983e-05,2.91983e-05,2.91983e-05
44,42.8556,2.64089,5.28112,2.55568,0.00064,0.06667,0.0006,0.00016,3.62522,5.32725,3.32486,2.93869e-05,2.93869e-05,2.93869e-05
45,43.8249,2.7782,5.42104,2.65898,0.00065,0.06667,0.00069,0.0002,3.5738,5.29279,3.27547,2.9552e-05,2.9552e-05,2.9552e-05
46,44.7888,2.33777,4.92472,2.41732,0.00065,0.06667,0.00069,0.0002,3.5738,5.29279,3.27547,2.96935e-05,2.96935e-05,2.96935e-05
47,45.7695,2.69694,4.95738,2.552,0.00064,0.06667,0.00077,0.00024,3.51647,5.23574,3.22756,2.98114e-05,2.98114e-05,2.98114e-05
48,46.6835,2.89783,5.34812,2.9093,0.00064,0.06667,0.00077,0.00024,3.51647,5.23574,3.22756,2.99058e-05,2.99058e-05,2.99058e-05
49,47.6314,2.53925,5.38588,2.53964,0.00065,0.06667,0.00077,0.00026,3.47159,5.2465,3.17944,2.99766e-05,2.99766e-05,2.99766e-05
50,48.5747,2.75069,4.92471,2.73668,0.00065,0.06667,0.00077,0.00026,3.47159,5.2465,3.17944,3.00238e-05,3.00238e-05,3.00238e-05
51,49.5297,2.49597,5.83834,2.69003,0.00065,0.06667,0.00098,0.0003,3.44491,5.19422,3.14573,3.00475e-05,3.00475e-05,3.00475e-05
52,50.465,2.94255,5.56849,2.77084,0.00065,0.06667,0.00098,0.0003,3.44491,5.19422,3.14573,3.00476e-05,3.00476e-05,3.00476e-05
53,51.3887,2.80747,5.95924,2.7177,0.00065,0.06667,0.00098,0.0003,3.44491,5.19422,3.14573,3.00242e-05,3.00242e-05,3.00242e-05
54,52.3646,2.88812,5.46264,2.84701,0.00065,0.06667,0.00133,0.00049,3.34594,5.11332,3.08516,2.99772e-05,2.99772e-05,2.99772e-05
55,53.2803,2.40027,5.39324,2.43067,0.00065,0.06667,0.00133,0.00049,3.34594,5.11332,3.08516,2.99066e-05,2.99066e-05,2.99066e-05
56,54.234,2.58835,5.17871,2.82249,0.00065,0.06667,0.00133,0.00049,3.34594,5.11332,3.08516,2.98125e-05,2.98125e-05,2.98125e-05
57,55.2366,2.70949,4.96545,2.62213,0.00064,0.06667,0.00145,0.0005,3.24339,5.10108,2.99514,2.96948e-05,2.96948e-05,2.96948e-05
58,56.2193,2.39437,4.86646,2.50418,0.00064,0.06667,0.00145,0.0005,3.24339,5.10108,2.99514,2.95535e-05,2.95535e-05,2.95535e-05
59,57.1418,2.13864,5.21831,2.50693,0.00064,0.06667,0.00145,0.0005,3.24339,5.10108,2.99514,2.93887e-05,2.93887e-05,2.93887e-05
60,58.0929,2.58863,5.35955,2.41,0.00063,0.06667,0.00172,0.00059,3.13794,5.06498,2.92533,2.92003e-05,2.92003e-05,2.92003e-05
61,58.9984,2.32939,5.24229,2.63657,0.00063,0.06667,0.00172,0.00059,3.13794,5.06498,2.92533,2.89884e-05,2.89884e-05,2.89884e-05
62,59.9267,2.54259,5.24034,2.62344,0.00063,0.06667,0.00172,0.00059,3.13794,5.06498,2.92533,2.87529e-05,2.87529e-05,2.87529e-05
63,60.8636,2.42515,5.35319,2.50494,0.00063,0.06667,0.00174,0.0006,3.06721,5.05208,2.93108,2.84938e-05,2.84938e-05,2.84938e-05
64,61.7698,2.34671,4.89705,2.53473,0.00063,0.06667,0.00174,0.0006,3.06721,5.05208,2.93108,2.82112e-05,2.82112e-05,2.82112e-05
65,62.6708,2.54892,5.26512,2.49918,0.00063,0.06667,0.00174,0.0006,3.06721,5.05208,2.93108,2.7905e-05,2.7905e-05,2.7905e-05
66,63.6164,2.65106,5.54823,2.52748,0.00063,0.06667,0.00175,0.00071,2.98086,5.04974,2.91374,2.75753e-05,2.75753e-05,2.75753e-05
67,64.5195,2.64108,5.03576,2.81506,0.00063,0.06667,0.00175,0.00071,2.98086,5.04974,2.91374,2.7222e-05,2.7222e-05,2.7222e-05
68,65.4454,3.21093,5.03972,2.93457,0.00063,0.06667,0.00175,0.00071,2.98086,5.04974,2.91374,2.68451e-05,2.68451e-05,2.68451e-05
69,66.393,2.54423,5.26645,2.56084,0.00064,0.06667,0.00211,0.00083,2.94288,5.09179,2.93171,2.64447e-05,2.64447e-05,2.64447e-05
70,67.3233,2.9262,5.27785,2.51063,0.00064,0.06667,0.00211,0.00083,2.94288,5.09179,2.93171,2.60207e-05,2.60207e-05,2.60207e-05
71,68.2477,2.47155,5.13345,2.36668,0.00064,0.06667,0.00211,0.00083,2.94288,5.09179,2.93171,2.55731e-05,2.55731e-05,2.55731e-05
72,69.1989,2.39077,5.42753,2.44906,0.00064,0.06667,0.00169,0.0007,2.84579,5.03069,2.90002,2.5102e-05,2.5102e-05,2.5102e-05
73,70.1087,2.21442,4.83144,2.31066,0.00064,0.06667,0.00169,0.0007,2.84579,5.03069,2.90002,2.46073e-05,2.46073e-05,2.46073e-05
74,71.0358,2.38099,5.07448,2.48872,0.00064,0.06667,0.00169,0.0007,2.84579,5.03069,2.90002,2.40891e-05,2.40891e-05,2.40891e-05
75,71.9765,2.95057,5.23103,2.81587,0.00064,0.06667,0.00172,0.0007,2.78366,5.01681,2.88625,2.35472e-05,2.35472e-05,2.35472e-05
76,72.8959,2.35137,5.23259,2.52088,0.00064,0.06667,0.00172,0.0007,2.78366,5.01681,2.88625,2.29819e-05,2.29819e-05,2.29819e-05
77,73.8099,2.27543,4.90197,2.56263,0.00064,0.06667,0.00172,0.0007,2.78366,5.01681,2.88625,2.23929e-05,2.23929e-05,2.23929e-05
78,74.7521,2.37655,5.22638,2.6499,0.00064,0.06667,0.00166,0.00067,2.75512,5.05125,2.87769,2.17805e-05,2.17805e-05,2.17805e-05
79,75.6727,2.58216,5.08938,2.61512,0.00064,0.06667,0.00166,0.00067,2.75512,5.05125,2.87769,2.11444e-05,2.11444e-05,2.11444e-05
80,76.602,2.76298,5.22124,2.57748,0.00064,0.06667,0.00166,0.00067,2.75512,5.05125,2.87769,2.04848e-05,2.04848e-05,2.04848e-05
81,77.5562,2.543,5.11903,2.69787,0.00048,0.05,0.00149,0.00062,2.73553,5.06929,2.8882,1.98016e-05,1.98016e-05,1.98016e-05
82,78.4654,2.54162,5.01303,2.51913,0.00048,0.05,0.00149,0.00062,2.73553,5.06929,2.8882,1.90949e-05,1.90949e-05,1.90949e-05
83,79.3768,2.39454,4.88144,2.46285,0.00048,0.05,0.00149,0.00062,2.73553,5.06929,2.8882,1.83646e-05,1.83646e-05,1.83646e-05
84,80.3391,2.57211,4.88398,2.44526,0.00049,0.05,0.00113,0.0005,2.69127,5.10706,2.87553,1.76107e-05,1.76107e-05,1.76107e-05
85,81.3746,2.43418,4.92825,2.38978,0.00049,0.05,0.00113,0.0005,2.69127,5.10706,2.87553,1.68333e-05,1.68333e-05,1.68333e-05
86,82.4573,2.44421,5.05563,2.72854,0.00049,0.05,0.00113,0.0005,2.69127,5.10706,2.87553,1.60323e-05,1.60323e-05,1.60323e-05
87,83.4448,2.16204,5.02642,2.4486,0.00049,0.05,0.00113,0.0005,2.69127,5.10706,2.87553,1.52077e-05,1.52077e-05,1.52077e-05
88,84.4705,2.63038,5.62588,2.51836,0.00049,0.05,0.00114,0.00043,2.64767,5.1533,2.86649,1.43596e-05,1.43596e-05,1.43596e-05
89,85.4271,2.34025,4.83462,2.45718,0.00049,0.05,0.00114,0.00043,2.64767,5.1533,2.86649,1.34879e-05,1.34879e-05,1.34879e-05
90,86.4037,2.2936,5.22723,2.53404,0.00049,0.05,0.00114,0.00043,2.64767,5.1533,2.86649,1.25927e-05,1.25927e-05,1.25927e-05
91,87.3425,2.16419,5.48113,2.52247,0.00049,0.05,0.00114,0.00043,2.64767,5.1533,2.86649,1.16739e-05,1.16739e-05,1.16739e-05
92,88.3076,2.21143,5.53507,2.46555,0.00049,0.05,0.00137,0.00033,2.70532,5.22419,2.8724,1.07315e-05,1.07315e-05,1.07315e-05
93,89.2441,2.03928,5.44593,2.53371,0.00049,0.05,0.00137,0.00033,2.70532,5.22419,2.8724,9.76562e-06,9.76562e-06,9.76562e-06
94,90.1789,2.20928,5.45322,2.49678,0.00049,0.05,0.00137,0.00033,2.70532,5.22419,2.8724,8.77613e-06,8.77613e-06,8.77613e-06
95,91.1059,2.22027,5.49462,2.47026,0.00049,0.05,0.00137,0.00033,2.70532,5.22419,2.8724,7.76308e-06,7.76308e-06,7.76308e-06
96,92.0675,1.99228,5.30642,2.40645,0.0005,0.05,0.00126,0.00026,2.7672,5.28428,2.91687,6.72648e-06,6.72648e-06,6.72648e-06
97,92.9841,2.37582,5.77574,2.41971,0.0005,0.05,0.00126,0.00026,2.7672,5.28428,2.91687,5.6663e-06,5.6663e-06,5.6663e-06
98,93.92,1.97352,5.31709,2.32911,0.0005,0.05,0.00126,0.00026,2.7672,5.28428,2.91687,4.58257e-06,4.58257e-06,4.58257e-06
99,94.837,2.16374,5.56936,2.48149,0.0005,0.05,0.00126,0.00026,2.7672,5.28428,2.91687,3.47528e-06,3.47528e-06,3.47528e-06
100,95.7823,2.30137,5.54013,2.47255,0.0005,0.05,0.00102,0.00021,2.84321,5.38282,2.94904,2.34442e-06,2.34442e-06,2.34442e-06
